,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
483,Livin' On A Prayer,Bon Jovi,glam metal,1986,2024‑02‑02,123,89,-4,29,80,249,8,3,88
484,The One,The Chainsmokers,pop,2017,2024‑02‑02,100,30,-11,29,15,178,24,3,59
485,Keep Your Head Up Princess,Anson Seabra,alt z,2021,2024‑02‑02,85,14,-17,11,53,198,97,26,63
486,Empty Room,Jamie Miller,pop soul,2023,2024‑02‑02,86,42,-7,13,29,185,59,4,63
487,Older,Sasha Alex Sloan,alt z,2018,2024‑02‑02,64,30,-10,12,17,185,73,7,63
488,A Little Bit Yours,JP Saxe,alt z,2020,2024‑02‑02,87,30,-9,11,31,226,74,3,63
489,lie,Nessa Barrett,alt z,2023,2024‑02‑02,155,50,-8,13,66,214,32,4,64
490,Unfinished Business,NERIAH,alt z,2022,2024‑02‑02,90,58,-6,11,27,209,19,6,64
491,"If I Don't Laugh, I'll Cry",Frawley,alt z,2022,2024‑02‑02,81,59,-5,15,21,198,37,4,64
492,Always,Daniel Caesar,canadian contemporary r&b,2023,2024‑02‑02,136,45,-8,11,21,225,66,5,64
493,Don't Tell My Mom,Reneé Rapp,alt z,2022,2024‑02‑02,93,35,-9,12,27,189,63,5,65
494,I'm Sorry,Ali Gatie,canadian hip hop,2024,2024‑02‑02,82,38,-10,11,39,204,88,4,65
495,I Lost Myself In Loving You,Jamie Miller,pop soul,2022,2024‑02‑02,78,62,-5,9,42,201,61,5,65
496,Hurtless,Dean Lewis,australian pop,2022,2024‑02‑02,163,56,-6,12,32,180,19,5,65
497,broken,Jonah Kagen,singer-songwriter pop,2022,2024‑02‑02,84,35,-12,11,28,195,50,6,65
498,Astronaut,Griff,uk pop,2023,2024‑02‑02,88,31,-7,12,17,215,79,3,65
499,People Watching,Conan Gray,bedroom pop,2021,2024‑02‑02,126,59,-7,31,54,159,39,5,66
500,Born To Be Alive,Bea and her Business,,2023,2024‑02‑02,75,51,-6,14,19,157,88,3,67
501,Best Friend Breakup,Lauren Spencer Smith,alt z,2023,2024‑02‑02,82,57,-5,10,55,141,21,11,65
502,I Just Wanna Feel Your Love Again,Montell Fish,pittsburgh rap,2023,2024‑02‑02,120,1,-30,12,8,241,95,4,66
503,MEAN!,Madeline The Person,gen z singer-songwriter,2022,2024‑02‑02,175,42,-10,9,43,144,91,43,66
504,Memories,Conan Gray,bedroom pop,2022,2024‑02‑02,113,68,-6,35,56,249,1,4,67
505,closure,Henry Moodie,singer-songwriter pop,2023,2024‑02‑02,110,69,-6,19,26,184,15,18,67
506,this is what sadness feels like,JVKE,modern indie pop,2022,2024‑02‑02,141,32,-10,13,15,192,82,7,67
507,die first,Nessa Barrett,alt z,2022,2024‑02‑02,183,67,-7,12,44,177,7,13,67
508,Never Ever Love a Liar,Bea and her Business,,2023,2024‑02‑02,82,52,-5,8,48,166,57,4,68
509,One More Shot,CIL,singer-songwriter pop,2023,2024‑02‑02,110,44,-6,8,56,141,72,4,68
510,Part Of Me,Cian Ducrot,irish pop,2023,2024‑02‑02,142,51,-7,12,23,202,52,4,68
511,Love You From a Distance,Ashley Kutcher,alt z,2021,2024‑02‑02,149,54,-9,10,63,204,56,3,68
512,I Would've,Jessie Murph,modern country pop,2023,2024‑02‑02,150,26,-10,17,28,151,40,6,68
513,Memory Lane,Haley Joelle,alt z,2022,2024‑02‑02,120,10,-12,11,33,154,93,5,68
514,Oceans & Engines,NIKI,indonesian r&b,2022,2024‑02‑02,142,31,-9,9,7,336,64,3,70
515,never knew a heart could break itself,Zach Hood,alt z,2022,2024‑02‑02,79,45,-7,10,46,155,47,4,68
516,anatomy,kenzie,social media pop,2023,2024‑02‑02,105,20,-13,12,14,182,88,5,69
517,Astronomy,Conan Gray,bedroom pop,2021,2024‑02‑02,145,34,-9,30,11,244,59,3,69
518,This Is How It Feels (with Laufey),d4vd,bedroom pop,2023,2024‑02‑02,132,23,-12,17,24,284,93,3,69
519,Penthouse,Kelsea Ballerini,contemporary country,2023,2024‑02‑02,75,45,-5,9,53,183,71,4,69
520,In A Perfect World (with Julia Michaels),Dean Lewis,australian pop,2023,2024‑02‑02,117,45,-5,44,32,191,19,4,69
521,Make It To Me,Sam Smith,pop,2015,2024‑02‑02,150,38,-8,10,28,163,60,8,70
522,drunk text me,Lexi Jayde,alt z,2022,2024‑02‑02,80,49,-7,9,23,213,29,3,70
523,24,NIKI,indonesian r&b,2024,2024‑02‑02,168,32,-13,17,33,246,63,4,70
524,Someone Like You (feat. Joy Oladokun),Noah Kahan,pov: indie,2021,2024‑02‑02,178,53,-7,9,37,187,47,6,70
525,Chasing Shadows,Alex Warren,gen z singer-songwriter,2022,2024‑02‑02,120,60,-8,11,40,164,56,4,71
526,Some Things I'll Never Know,Teddy Swims,,2023,2024‑02‑02,128,22,-8,11,56,242,85,3,71
527,Free Falling,James Arthur,pop,2024,2024‑02‑02,112,39,-9,11,21,173,51,3,72
528,girl in new york,Nessa Barrett,alt z,2023,2024‑02‑02,110,51,-6,31,27,177,3,3,71
529,While You're At It,Jessie Murph,modern country pop,2023,2024‑02‑02,142,43,-7,23,16,127,36,4,72
530,Just Because,Sadie Jean,alt z,2023,2024‑02‑02,90,63,-8,14,45,132,74,17,72
531,missin something,Zach Templar,,2023,2024‑02‑02,144,54,-5,11,36,146,71,3,73
532,28 (with Dean Lewis),Ruth B.,alt z,2023,2024‑02‑02,77,33,-6,11,51,208,79,3,73
533,Intrusive Thoughts,Natalie Jane,singer-songwriter pop,2023,2024‑02‑02,64,32,-9,9,13,201,77,3,73
534,Bigger Than The Whole Sky,Taylor Swift,pop,2022,2024‑02‑02,166,24,-12,12,7,219,83,6,73
535,Bigger Person,Lauren Spencer Smith,alt z,2023,2024‑02‑02,105,36,-8,16,18,161,40,5,74
536,emails i can’t send,Sabrina Carpenter,pop,2022,2024‑02‑02,86,39,-11,62,41,104,76,19,74
537,i wish you cheated,Alexander Stewart,singer-songwriter pop,2023,2024‑02‑02,85,38,-8,13,49,190,20,6,75
538,messier,Tate McRae,alt z,2023,2024‑02‑02,90,47,-7,13,32,237,3,3,74
539,I'll Be Waiting,Cian Ducrot,irish pop,2023,2024‑02‑02,156,64,-4,9,53,173,41,4,74
540,better off without me,Matt Hansen,gen z singer-songwriter,2022,2024‑02‑02,150,47,-7,32,65,170,62,4,75
541,Enough,charlieonnafriday,singer-songwriter pop,2022,2024‑02‑02,140,54,-8,17,24,185,22,4,75
542,Moral of the Story,Ashe,alt z,2019,2024‑02‑02,120,41,-9,10,27,201,59,4,75
543,As the World Caves In,Sarah Cothran,gen z singer-songwriter,2021,2024‑02‑02,124,25,-7,35,25,162,44,4,76
544,blame's on me,Alexander Stewart,singer-songwriter pop,2022,2024‑02‑02,159,12,-17,17,24,138,86,4,76
545,Special,SZA,pop,2022,2024‑02‑02,76,20,-12,11,19,159,78,5,76
546,To Love Someone,Benson Boone,singer-songwriter pop,2023,2024‑02‑02,82,34,-8,10,26,196,71,3,76
547,Call Your Mom (with Lizzy McAlpine),Noah Kahan,pov: indie,2023,2024‑02‑02,172,24,-11,11,18,275,73,4,76
548,BLEED,The Kid LAROI,australian hip hop,2023,2024‑02‑02,175,42,-7,19,67,170,65,3,76
549,you were good to me,Jeremy Zucker,alt z,2019,2024‑02‑02,102,8,-15,11,21,219,91,4,76
550,I know it won't work,Gracie Abrams,alt z,2023,2024‑02‑02,120,58,-9,13,45,246,54,5,77
551,LET EM GO,Matt Hansen,gen z singer-songwriter,2023,2024‑02‑02,118,51,-9,11,13,181,3,11,77
552,Falling Apart,Michael Schulte,german pop,2017,2024‑02‑02,110,33,-9,17,26,199,82,3,77
553,Reckless,Madison Beer,pop,2021,2024‑02‑02,180,43,-7,14,26,203,81,4,77
554,The Cut That Always Bleeds,Conan Gray,bedroom pop,2020,2024‑02‑02,136,41,-6,6,25,232,59,3,78
555,grave,Tate McRae,alt z,2023,2024‑02‑02,158,63,-8,9,25,193,16,5,77
556,Water Fountain,Alec Benjamin,alt z,2018,2024‑02‑02,134,50,-6,9,55,219,39,4,78
557,Locksmith,Sadie Jean,alt z,2022,2024‑02‑02,99,35,-11,11,37,164,56,5,78
558,Tummy Hurts,Reneé Rapp,alt z,2023,2024‑02‑02,150,68,-6,12,48,169,78,29,79
559,Great Gatsby,Rod Wave,florida rap,2023,2024‑02‑02,157,56,-9,41,16,147,4,9,80
560,something to remember,Matt Hansen,gen z singer-songwriter,2023,2024‑02‑02,112,72,-7,12,49,162,38,3,80
561,this is me trying,Taylor Swift,pop,2020,2024‑02‑02,136,48,-10,17,41,195,31,3,80
562,Love Is Gone - Acoustic,SLANDER,dubstep,2019,2024‑02‑02,140,15,-11,16,36,177,88,3,80
563,logical,Olivia Rodrigo,pop,2023,2024‑02‑02,81,25,-8,10,15,232,85,3,81
564,Forget Me,Lewis Capaldi,pop,2023,2024‑02‑02,102,76,-4,34,70,204,32,4,81
565,Solo,Myles Smith,singer-songwriter pop,2023,2024‑02‑02,123,46,-7,12,35,200,70,4,82
566,Frágil,Yahritza Y Su Esencia,sad sierreno,2023,2024‑02‑02,150,73,-5,11,39,161,37,3,81
567,"1 step forward, 3 steps back",Olivia Rodrigo,pop,2021,2024‑02‑02,169,20,-13,13,42,164,94,10,82
568,"I miss you, I’m sorry",Gracie Abrams,alt z,2020,2024‑02‑02,110,46,-6,12,15,168,73,6,82
569,Falling Behind,Laufey,gen z singer-songwriter,2022,2024‑02‑02,166,35,-13,11,55,174,94,9,83
570,Rock and A Hard Place,Bailey Zimmerman,contemporary country,2023,2024‑02‑02,122,57,-7,11,39,208,58,3,84
571,About You,The 1975,modern alternative rock,2022,2024‑02‑02,96,76,-7,6,46,326,31,3,84
572,July,Noah Cyrus,alt z,2020,2024‑02‑02,73,19,-9,8,32,156,87,4,84
573,Black Friday,Tom Odell,chill pop,2023,2024‑02‑02,165,20,-12,10,20,222,93,3,84
574,Dawns (feat. Maggie Rogers),Zach Bryan,classic oklahoma country,2023,2024‑02‑02,123,44,-8,19,29,291,87,5,85
575,TV,Billie Eilish,art pop,2022,2024‑02‑02,140,24,-15,15,12,281,83,4,86
576,i am not who i was,Chance Peña,singer-songwriter pop,2023,2024‑02‑02,130,22,-14,9,19,145,70,4,86
577,favorite crime,Olivia Rodrigo,pop,2021,2024‑02‑02,173,27,-10,15,22,153,87,4,87
578,Heart To Heart,Mac DeMarco,edmonton indie,2019,2024‑02‑02,150,14,-16,11,64,211,67,10,87
579,Happier Than Ever,Billie Eilish,art pop,2021,2024‑02‑02,81,23,-9,13,30,299,77,3,87
580,Sparks,Coldplay,permanent wave,2000,2024‑02‑02,103,27,-11,10,17,227,75,3,90
581,Romantic Homicide,d4vd,bedroom pop,2022,2024‑02‑02,132,54,-11,32,22,133,45,3,91
582,Love Me Again,V,j-division,2023,2024‑02‑02,74,61,-6,17,36,182,18,5,91
583,Save Me (with Lainey Wilson),Jelly Roll,country rap,2023,2024‑02‑02,83,61,-5,11,15,237,38,2,81
584,Slipping Through My Fingers,Declan McKenna,pov: indie,2023,2024‑02‑02,121,12,-17,13,22,264,90,4,67
585,Last Man Standing,Livingston,singer-songwriter pop,2024,2024‑02‑02,138,44,-6,11,45,183,84,3,72
586,Let You Break My Heart Again,Laufey,gen z singer-songwriter,2021,2024‑02‑02,77,14,-15,11,12,269,97,4,81
587,I Hope You Know,Sofia Carson,pop,2024,2024‑02‑02,126,52,-6,11,27,199,55,4,59
588,HEAVEN,The Kid LAROI,australian hip hop,2024,2024‑02‑02,143,28,-9,10,41,175,77,4,78
589,if you only knew,Alexander Stewart,singer-songwriter pop,2023,2024‑02‑02,128,32,-11,12,42,164,76,3,75
590,Call Me Yours,Lillian Hepler,alt z,2023,2024‑02‑02,87,26,-8,21,14,152,35,11,69
591,Barbra Streisand - Radio Edit,Duck Sauce,disco house,2011,2024‑02‑02,128,93,-2,22,46,195,0,10,52
592,Today Was A Fairytale,Taylor Swift,pop,2011,2024‑02‑02,158,70,-4,17,34,242,3,3,52
593,Airplanes (feat. Hayley Williams of Paramore),B.o.B,atl hip hop,2018,2024‑02‑02,93,87,-4,4,35,180,11,12,52
594,Live Like We're Dying,Kris Allen,idol,2009,2024‑02‑02,92,89,-3,34,94,213,3,4,52
595,Higher,The Saturdays,dance pop,2010,2024‑02‑02,117,86,-3,26,60,208,5,3,54
596,All Time Low,The Wanted,boy band,2010,2024‑02‑02,134,62,-5,8,79,205,35,5,56
597,Pass Out,Tinie Tempah,dance pop,2010,2024‑02‑02,91,89,-3,14,53,268,3,30,56
598,Starry Eyed,Ellie Goulding,indietronica,2010,2024‑02‑02,150,81,-5,32,60,177,14,4,56
599,Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,Swedish House Mafia,edm,2010,2024‑02‑02,125,93,-6,40,66,206,0,7,57
600,Say Aah (feat. Fabolous),Trey Songz,dance pop,2009,2024‑02‑02,93,87,-4,83,81,208,0,11,56
601,Commander,Kelly Rowland,atl hip hop,2011,2024‑02‑02,125,88,-4,36,57,218,2,14,58
602,Don't Stop Believin' (Glee Cast Version) - Cover of Journey,Glee Cast,glee club,2009,2024‑02‑02,124,60,-4,10,27,232,4,3,58
603,Bromance - Avicii's Radio Edit,Tim Berg,edm,2010,2024‑02‑02,126,80,-9,15,4,219,20,4,59
604,Forget You,CeeLo Green,atl hip hop,2010,2024‑02‑02,127,88,-4,16,77,223,13,6,60
605,No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,atl hip hop,2010,2024‑02‑02,131,60,-6,24,36,264,1,4,60
606,King of Anything,Sara Bareilles,acoustic pop,2010,2024‑02‑02,119,76,-4,6,81,207,46,4,60
607,Find Your Love,Drake,canadian hip hop,2010,2024‑02‑02,96,61,-6,3,74,209,2,17,61
608,Wavin' Flag,K'NAAN,reggae fusion,2009,2024‑02‑02,76,70,-6,24,72,221,13,7,61
609,Beautiful Monster,Ne-Yo,dance pop,2010,2024‑02‑02,128,77,-7,28,49,252,21,13,61
610,Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,2010,2024‑02‑02,92,93,-4,22,53,208,6,10,61
611,Whataya Want from Me,Adam Lambert,dance pop,2009,2024‑02‑02,186,67,-5,6,46,227,1,4,61
612,The Flood,Take That,boy band,2010,2024‑02‑02,101,83,-6,12,14,289,4,4,61
613,She Said,Plan B,,2010,2024‑02‑02,147,54,-6,14,82,209,30,14,63
614,Mine,Taylor Swift,pop,2010,2024‑02‑02,121,78,-3,18,67,231,0,3,63
615,My First Kiss (feat. Ke$ha),3OH!3,dance pop,2010,2024‑02‑02,138,89,-4,36,83,192,1,8,63
616,Over,Drake,canadian hip hop,2010,2024‑02‑02,100,85,-6,12,43,234,1,28,63
617,Imma Be,Black Eyed Peas,dance pop,2009,2024‑02‑02,92,52,-7,31,41,258,18,37,63
618,Heartbreak Warfare,John Mayer,neo mellow,2009,2024‑02‑02,97,55,-8,30,31,270,19,2,66
619,Kickstarts,Example,hip house,2010,2024‑02‑02,126,84,-4,36,66,182,0,6,64
620,Gold Dust - Radio Edit,DJ Fresh,dancefloor dnb,2010,2024‑02‑02,177,95,-1,39,30,192,26,15,65
621,Stuck Like Glue,Sugarland,contemporary country,2010,2024‑02‑02,84,80,-5,5,84,248,33,6,65
622,If I Die Young,The Band Perry,contemporary country,2010,2024‑02‑02,131,50,-7,28,36,223,35,3,65
623,Try Sleeping with a Broken Heart,Alicia Keys,neo soul,2009,2024‑02‑02,111,82,-5,13,55,249,16,11,66
624,Dancing On My Own,Robyn,dance pop,2010,2024‑02‑02,117,86,-5,9,28,286,6,3,66
625,We No Speak Americano (Edit),Yolanda Be Cool,australian dance,2020,2024‑02‑02,125,81,-5,9,75,157,7,5,66
626,Half of My Heart,John Mayer,neo mellow,2009,2024‑02‑02,115,59,-9,11,73,250,44,3,67
627,Your Song - Bonus Track,Ellie Goulding,indietronica,2010,2024‑02‑02,134,20,-12,14,40,192,94,3,67
628,Gettin' Over (feat. Chris Willis & Fergie),David Guetta,big room,2010,2024‑02‑02,130,82,-4,20,62,182,21,8,67
629,Young Forever,JAY-Z,east coast hip hop,2009,2024‑02‑02,140,69,-3,21,10,254,42,7,67
630,STARSTRUKK (feat. Katy Perry),3OH!3,dance pop,2009,2024‑02‑02,140,81,-6,23,23,203,0,6,68
631,I Like It,Enrique Iglesias,dance pop,2010,2024‑02‑02,129,94,-3,6,73,231,2,9,68
632,Back To December,Taylor Swift,pop,2010,2024‑02‑02,142,61,-6,32,30,293,2,3,68
633,In My Head,Jason Derulo,dance pop,2010,2024‑02‑02,110,75,-4,35,85,199,3,3,69
634,Impossible,Shontelle,barbadian pop,2010,2024‑02‑02,90,62,-4,13,53,227,39,3,69
635,Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,2010,2024‑02‑02,120,84,-3,42,52,172,8,12,71
636,Teenage Dream,Katy Perry,pop,2010,2024‑02‑02,120,80,-5,13,59,228,2,4,70
637,What's My Name?,Rihanna,barbadian pop,2010,2024‑02‑02,100,79,-3,8,58,263,23,7,71
638,Ridin' Solo,Jason Derulo,dance pop,2010,2024‑02‑02,89,83,-4,13,58,216,13,15,70
639,Hot,INNA,dance pop,2010,2024‑02‑02,128,94,-6,43,60,217,8,28,70
640,For the First Time,The Script,celtic rock,2010,2024‑02‑02,174,63,-5,10,38,252,3,3,71
641,I Need A Dollar,Aloe Blacc,pop soul,2010,2024‑02‑02,95,48,-7,9,96,243,20,3,70
642,Carry Out (Featuring Justin Timberlake),Timbaland,dance pop,2009,2024‑02‑02,116,57,-7,26,27,232,11,11,71
643,Take It Off,Kesha,dance pop,2010,2024‑02‑02,125,68,-5,9,74,215,0,3,72
644,Te Amo,Rihanna,barbadian pop,2009,2024‑02‑02,172,71,-5,10,75,208,54,8,71
645,One (Your Name) - Radio Edit,Swedish House Mafia,edm,2010,2024‑02‑02,125,67,-7,16,64,163,1,3,71
646,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,hip hop,2010,2024‑02‑02,150,78,-4,16,28,233,1,19,71
647,Do You Remember,Jay Sean,dance pop,2009,2024‑02‑02,126,67,-5,10,82,211,2,7,71
648,Right Above It,Lil Wayne,hip hop,2010,2024‑02‑02,76,84,-4,58,46,272,4,36,71
649,If We Ever Meet Again (Featuring Katy Perry),Timbaland,dance pop,2009,2024‑02‑02,126,61,-7,6,39,293,0,4,72
650,Teach Me How to Dougie,Cali Swag District,pop rap,2011,2024‑02‑02,85,44,-5,9,51,237,20,14,72
651,Deuces (feat. Tyga & Kevin McCall),Chris Brown,r&b,2011,2024‑02‑02,74,74,-5,8,22,277,3,11,72
652,Your Love Is My Drug,Kesha,dance pop,2010,2024‑02‑02,120,61,-4,9,76,187,1,10,72
653,Man Down,Rihanna,barbadian pop,2010,2024‑02‑02,156,90,-4,5,56,267,4,18,73
654,OMG (feat. will.i.am),USHER,atl hip hop,2010,2024‑02‑02,130,75,-6,36,33,269,20,3,73
655,Alejandro,Lady Gaga,art pop,2009,2024‑02‑02,99,79,-7,38,36,274,0,5,75
656,Break Your Heart,Taio Cruz,dance pop,2010,2024‑02‑02,122,93,-4,9,57,202,3,3,73
657,The Time (Dirty Bit),Black Eyed Peas,dance pop,2010,2024‑02‑02,128,81,-8,60,44,308,7,7,73
658,Bottoms Up (feat. Nicki Minaj),Trey Songz,dance pop,2010,2024‑02‑02,74,60,-5,39,33,242,2,16,75
659,Telephone,Lady Gaga,art pop,2009,2024‑02‑02,122,84,-6,11,72,221,1,4,76
660,Need You Now,Lady A,contemporary country,2010,2024‑02‑02,108,72,-4,24,32,236,3,3,76
661,Billionaire (feat. Bruno Mars),Travie McCoy,pop rap,2010,2024‑02‑02,87,67,-6,21,66,211,30,26,77
662,Whatcha Say,Jason Derulo,dance pop,2010,2024‑02‑02,144,71,-6,14,71,221,4,8,77
663,Like A G6,Far East Movement,asian american hip hop,2010,2024‑02‑02,125,84,-8,12,78,217,1,45,77
664,What You Know,Two Door Cinema Club,indie rock,2010,2024‑02‑02,139,75,-4,9,83,190,0,4,78
665,Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,2024‑02‑02,130,82,-5,69,63,213,18,5,79
666,Just A Dream,Nelly,dance pop,2010,2024‑02‑02,90,75,-6,12,10,238,4,3,79
667,Talking to the Moon,Bruno Mars,dance pop,2010,2024‑02‑02,146,59,-5,11,8,218,51,3,80
668,Eenie Meenie,Sean Kingston,dance pop,2010,2024‑02‑02,121,61,-4,11,83,202,5,3,80
669,Hey Daddy (Daddy's Home),USHER,atl hip hop,2010,2024‑02‑02,96,70,-4,11,35,224,0,3,83
670,Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,2024‑02‑02,128,87,-4,6,47,235,3,3,82
671,Not Afraid,Eminem,detroit hip hop,2010,2024‑02‑02,115,95,-1,21,67,248,53,26,83
672,Danza Kuduro,Don Omar,latin hip hop,2010,2024‑02‑02,89,92,-5,5,88,199,8,28,83
673,DJ Got Us Fallin' In Love (feat. Pitbull),USHER,atl hip hop,2010,2024‑02‑02,120,86,-3,8,65,221,3,11,84
674,California Gurls,Katy Perry,pop,2012,2024‑02‑02,125,75,-4,16,43,235,0,6,77
675,Baby,Justin Bieber,canadian pop,2010,2024‑02‑02,65,86,-5,11,54,214,4,14,85
676,Only Girl (In The World),Rihanna,barbadian pop,2010,2024‑02‑02,126,72,-4,7,61,235,13,4,76
677,Memories (feat. Kid Cudi),David Guetta,big room,2010,2024‑02‑02,130,87,-6,25,50,210,0,34,81
678,Bubbly,Colbie Caillat,dance pop,2007,2024‑02‑02,128,48,-7,12,26,196,59,4,76
679,Empire State of Mind (Part II) Broken Down,Alicia Keys,neo soul,2009,2024‑02‑02,93,37,-8,12,14,216,74,3,75
680,Hold My Hand,Lady Gaga,art pop,2022,2024‑02‑02,148,62,-4,40,22,225,4,3,75
681,Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,2024‑02‑02,194,74,-6,11,45,230,3,27,75
682,Because of You,Kelly Clarkson,dance pop,2004,2024‑02‑02,140,58,-5,12,15,219,25,3,75
683,Back for Good - Radio Mix,Take That,boy band,1995,2024‑02‑02,79,50,-10,14,56,242,31,3,75
684,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,dance pop,2017,2024‑02‑02,154,78,-6,8,58,164,5,9,75
685,Say Something,A Great Big World,neo mellow,2014,2024‑02‑02,141,15,-9,9,8,229,86,4,75
686,When You Say Nothing At All,Ronan Keating,europop,2000,2024‑02‑02,174,45,-11,8,42,257,16,2,76
687,I'm Like A Bird,Nelly Furtado,canadian latin,2000,2024‑02‑02,90,61,-5,23,61,243,15,4,76
688,I Try,Macy Gray,neo soul,1999,2024‑02‑02,76,64,-7,8,74,239,31,3,76
689,Something Just Like This,The Chainsmokers,pop,2017,2024‑02‑02,103,65,-7,17,51,248,3,4,76
690,You're Still The One,Shania Twain,canadian country,1997,2024‑02‑02,134,53,-7,11,50,212,27,4,76
691,Apologize,OneRepublic,piano rock,2007,2024‑02‑02,118,74,-6,10,50,208,36,3,76
692,One Call Away,Charlie Puth,pop,2016,2024‑02‑02,91,61,-5,12,47,194,40,3,76
693,Without Me,Halsey,electropop,2018,2024‑02‑02,136,49,-7,9,53,202,30,7,76
694,Little Things,One Direction,boy band,2012,2024‑02‑02,110,22,-12,18,53,219,81,3,77
695,8 Letters,Why Don't We,boy band,2018,2024‑02‑02,89,48,-6,9,26,190,65,3,77
696,Love Lies (with Normani),Khalid,pop,2018,2024‑02‑02,144,65,-6,13,34,202,10,4,77
697,Kiss from a Rose,Seal,british soul,1994,2024‑02‑02,132,53,-7,31,22,288,68,3,77
698,The A Team,Ed Sheeran,pop,2011,2024‑02‑02,85,29,-10,18,41,258,67,4,77
699,Jealous,Labrinth,indie poptimism,2014,2024‑02‑02,117,15,-9,11,10,288,87,5,77
700,Halo,Beyoncé,pop,2008,2024‑02‑02,78,71,-6,5,47,261,27,10,77
701,Bad Day,Daniel Powter,canadian pop,2005,2024‑02‑02,140,79,-4,15,52,234,45,3,77
702,Take A Bow,Rihanna,barbadian pop,2008,2024‑02‑02,82,47,-8,9,57,229,25,7,78
703,Good Life,OneRepublic,piano rock,2009,2024‑02‑02,95,69,-8,13,65,253,8,5,77
704,Angels,Robbie Williams,dance rock,1997,2024‑02‑02,150,59,-6,10,24,265,16,3,78
705,Fingers Crossed,Lauren Spencer Smith,alt z,2023,2024‑02‑02,110,47,-7,31,45,175,59,6,78
706,As Long as You Love Me,Backstreet Boys,boy band,1997,2024‑02‑02,98,80,-5,22,83,221,28,3,78
707,Issues,Julia Michaels,pop,2017,2024‑02‑02,114,42,-7,6,46,176,40,6,78
708,Stay,Zedd,complextro,2017,2024‑02‑02,102,62,-5,12,54,210,25,6,78
709,Feel,Robbie Williams,dance rock,2002,2024‑02‑02,98,73,-7,14,30,264,1,3,78
710,Firestone,Kygo,edm,2016,2024‑02‑02,114,63,-7,10,41,272,39,4,79
711,WITHOUT YOU,The Kid LAROI,australian hip hop,2021,2024‑02‑02,93,41,-7,13,47,161,21,3,79
712,You're Beautiful,James Blunt,neo mellow,2005,2024‑02‑02,82,48,-10,9,45,209,63,3,79
713,Breakeven,The Script,celtic rock,2008,2024‑02‑02,94,70,-5,8,49,261,14,2,79
714,You & I,One Direction,boy band,2013,2024‑02‑02,131,33,-7,10,36,238,22,3,79
715,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,indietronica,2015,2024‑02‑02,190,61,-7,13,28,253,25,5,80
716,Diamonds,Rihanna,barbadian pop,2012,2024‑02‑02,92,71,-5,11,39,225,0,5,80
717,Scared to Be Lonely,Martin Garrix,dutch edm,2017,2024‑02‑02,138,54,-8,26,20,221,9,6,80
718,Happier,Ed Sheeran,pop,2017,2024‑02‑02,90,39,-7,14,24,208,54,3,80
719,"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,europop,1990,2024‑02‑02,81,65,-7,26,72,259,34,3,80
720,Hold Me While You Wait,Lewis Capaldi,pop,2019,2024‑02‑02,107,53,-6,10,16,206,44,3,81
721,PILLOWTALK,ZAYN,pop,2016,2024‑02‑02,125,70,-4,9,44,203,12,5,81
722,Wolves,Selena Gomez,pop,2017,2024‑02‑02,125,80,-5,20,31,198,12,4,81
723,When We Were Young,Adele,british soul,2015,2024‑02‑02,144,60,-6,10,27,291,30,5,82
724,Human,Rag'n'Bone Man,neo soul,2017,2024‑02‑02,75,71,-4,17,55,200,39,30,82
725,Young Dumb & Broke,Khalid,pop,2017,2024‑02‑02,137,54,-6,17,39,203,20,4,82
726,Faded,Alan Walker,electro house,2018,2024‑02‑02,180,63,-5,11,16,212,3,5,82
727,FourFiveSeconds,Rihanna,barbadian pop,2015,2024‑02‑02,206,27,-6,13,35,188,88,5,82
728,Havana (feat. Young Thug),Camila Cabello,dance pop,2018,2024‑02‑02,105,52,-4,13,39,217,18,3,82
729,Ho Hey,The Lumineers,folk-pop,2012,2024‑02‑02,80,47,-9,9,42,163,77,3,82
730,Señorita,Shawn Mendes,canadian pop,2019,2024‑02‑02,117,55,-6,8,75,191,4,3,82
731,Grenade,Bruno Mars,dance pop,2010,2024‑02‑02,110,56,-7,11,25,222,15,5,83
732,Silence,Marshmello,brostep,2017,2024‑02‑02,142,76,-3,17,29,181,26,9,83
733,Budapest,George Ezra,folk-pop,2014,2024‑02‑02,128,46,-8,11,39,201,8,3,83
734,Love In The Dark,Adele,british soul,2015,2024‑02‑02,110,34,-6,11,15,286,53,3,84
735,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,pop,2018,2024‑02‑02,126,74,-5,47,57,218,24,4,84
736,Bruises,Lewis Capaldi,pop,2019,2024‑02‑02,111,31,-8,19,36,220,95,7,84
